job title,company name,location,job type
,,,
Call Center Agent,Royal Lab -,"Heliopolis, Cairo, Egypt ",Full Time
,,,
Call center Team leader,Confidential -,"Maadi, Cairo, Egypt ",Full Time
,,,
Call Center / Telesales Agent,Roots Development -,"Sheikh Zayed, Giza, Egypt ",Full Time
,,,
English Call Center Agents(Services Companyin UAE ).,Majorel Egypt -,"Katameya, Cairo, Egypt ",Full Time
,,,
Call Center Agent,Noxus  Solutions -,"Cairo, Egypt ",Full Time
,,,
Call Center Representative,Selah ElTelmeez For Publishing & printing -,"Obour City, Cairo, Egypt ",Full Time
,,,
French call center Agent,Sykes Enterprises -,"Cairo, Egypt ",Full Time
,,,
WFH Call Center Advisor - VOIS UK - Cairo\Giza Residents,_VOIS Egypt -,"6th of October, Giza, Egypt ",Full Time
,,,
WFH Call Center Advisor _VOIS Uk Alexandria Residents,_VOIS Egypt -,"Alexandria, Egypt ",Full Time
,,,
Telesales Representative Call Center,Concentrix + Webhelp -,"New Cairo, Cairo, Egypt ",Full Time
,,,
Call Center Agent (English Account - UAE Project),Etisalat Egypt -,"Cairo, Egypt ",Full Time
,,,
Call Center Manager,Nola Bakery -,"New Cairo, Cairo, Egypt ",Full Time
,,,
Call Center Agent - GoCozmo- Mohandessin - Jizah,Air Arabia -,"Mohandessin, Giza, Egypt ",Full Time
,,,
Call Center Agent,Berlitz Egypt -,"Maadi, Cairo, Egypt ",Full Time
,,,
Italian call Center Agent,The hires lab -,"Cairo, Egypt ",Full Time
,,,
English Call Center Agent,Confidential -,"Maadi, Cairo, Egypt ",Full Time
,,,
Call Center Agent,Elite -,"New Damietta, Damietta, Egypt ",Full Time
,,,
First Waves - English Call Center Representative,Sutherland -,"New Cairo, Cairo, Egypt ",Full Time
,,,
Call Center Agent,Dawi Clinics -,"Maadi, Cairo, Egypt ",Full Time
,,,
Call Center Auditor,Confidential -,"Giza, Egypt ",Full Time
,,,
Fluent English / Call center agents are needed,Majorel Egypt -,"Katameya, Cairo, Egypt ",Full Time
,,,
Call Center Agent,waffarha.com -,"Downtown, Cairo, Egypt ",Full Time
,,,
Call Center Agent ( Junior Level / Fresh Grad),ariika -,"New Cairo, Cairo, Egypt ",Full Time
,,,
(Work from Home) Call Center Advisor - VOIS UK - Alexandria Residents,_VOIS Egypt -,"Smouha, Alexandria, Egypt ",Full Time
,,,
Call Center Agent (Launching Account),Sykes Enterprises -,"Maadi, Cairo, Egypt ",Full Time
,,,
Customer service/mail&chat (call center) Etisalat UAE,Etisalat Egypt -,"Maadi, Cairo, Egypt ",Full Time
,,,
Call Center Senior Recruiter- English Account,Options -,"Mohandessin, Giza, Egypt ",Full Time
,,,
Call Center Agent,Orientals for Urban Development -,"Sheraton, Cairo, Egypt ",Full Time
,,,
Call Center Supervisor,Do Outsource -,"Sheikh Zayed, Giza, Egypt ",Full Time
,,,
Talent Acquisition Specialist (Call center),3D Diagnostix -,"Maadi, Cairo, Egypt ",Full Time
,,,
Fluent English / Call center,Majorel Egypt -,"Katameya, Cairo, Egypt ",Full Time
,,,
Medical Call Center,Everlast -,"Cairo, Egypt ",Full Time
,,,
Call Center Agent (English spearkers ),Enable -,"Abu Rawash, Giza, Egypt ",Full Time
,,,
Call Center Agent,New Star -,"Heliopolis, Cairo, Egypt ",Full Time
,,,
Quality Monitoring Analyst (GSM Call Center),Xceed Contact Center -,"Giza, Egypt ",Full Time
,,,
Call Center Manager,Nouvel Age -,"Nasr City, Cairo, Egypt ",Full Time
,,,
French Call Center Agent - Remote after Training,Sutherland -,"Alexandria, Egypt ",Full Time
,,,
Call Center Agent-Fixed shift,Confidential -,"Cairo, Egypt ",Full Time
,,,
Customer Service representative - call center agent (English Account) cairo,Etisalat Egypt -,"Maadi, Cairo, Egypt ",Full Time
,,,
(Work from Home) Call Center Advisor _VOIS Uk Alexandria Residents,_VOIS Egypt -,"Alexandria, Egypt ",Full Time
,,,
Call Center/ International Telesales Agent /Fluent English Speakers Only /Cairo Residents Only,Premium Ranks -,"Maadi, Cairo, Egypt ",Full Time
,,,
Call Center Team Leader,Mahgoub Group -,"Nasr City, Cairo, Egypt ",Full Time
,,,
Call Center Agent,Nacita -,"6th of October, Giza, Egypt ",Full Time
,,,
Call Center Agents - Banque Misr,NOK for Human Capital Solutions -,"Cairo, Egypt ",Full Time
,,,
Call Center Ambassador (English Account),Etisalat Egypt -,"Maadi, Cairo, Egypt ",Full Time
,,,
Call Center Agent - Betlone Consumer Finance,Beltone Financial  -,"Boulaq, Cairo, Egypt ",Full Time
,,,
Call center Agent Back office English Account Etisalat UAE,Etisalat Egypt -,"Maadi, Cairo, Egypt ",Full Time
,,,
"Area Manager, Fulfillment Center Operations",Amazon MENA -,"Cairo, Egypt ",Full Time
,,,
Call Center Agent,Confidential -,"Giza, Egypt ",Full Time
,,,
Guest Service Officer - Communications Center,Accor Hotels Aggregated -,"Dubai, United Arab Emirates ",Full Time
,,,
Team Leader - Call Center,Raya Distribution -,"Maadi, Cairo, Egypt ",Full Time
,,,
International Customer Support ( call center),Concentrix + Webhelp -,"New Cairo, Cairo, Egypt ",Full Time
,,,
Call Center Supervisor,Royal Lab -,"Heliopolis, Cairo, Egypt ",Full Time
,,,
Quality Assurance Specialist (Call Center),Fawry Microfinance  -,"Giza, Egypt ",Full Time
,,,
Customer Service Agent - Inbound calls (Corporate - English Account),Etisalat Egypt -,"Maadi, Cairo, Egypt ",Full Time
,,,
Call Center Quality Control,LAZARO SCENT  -,"Smouha, Alexandria, Egypt ",Full Time
,,,
Call Center Agent,The WaterWay Developments  -,"New Cairo, Cairo, Egypt ",Full Time
,,,
Call Center Agent,Artal Egypt -,"New Cairo, Cairo, Egypt ",Full Time
,,,
Call Center Agent,Ostawat -,"Cairo, Egypt ",Full Time
,,,
Call Center Team Leader,Enable -,"Nasr City, Cairo, Egypt ",Full Time
